time,value
643,1355
644,1307
645,1246
646,1218
647,1210
648,1174
649,1098
650,1083
651,1088
652,1060
653,1056
654,1064
655,1054
656,1057
657,1039
658,1045
659,1024
660,1004
661,1029
662,982
663,1004
664,999
665,1025
666,1027
667,1021
668,1037
669,1015
670,1002
671,1042
672,1036
673,1022
674,998
675,1001
676,1010
677,1010
678,1023
679,1007
680,1051
681,1037
682,1009
683,996
684,1019
685,1032
686,1034
687,1005
688,980
689,1007
690,1014
691,1036
692,1061
693,1064
694,1046
695,1007
696,1014
697,1045
698,1153
699,1173
700,1196
701,1286
702,1324
703,1473
704,1494
705,1662
706,1714
707,1737
708,1783
709,1851
710,1890
711,1839
712,1762
713,1820
714,1786
715,1816
716,1756
717,1760
718,1710
719,1705
720,1711
721,1730
722,1752
723,1755
724,1742
725,1745
726,1747
727,1744
728,1716
729,1693
730,1702
731,1727
732,1644
733,1617
734,1680
735,1695
736,1697
737,1610
738,1511
739,1393
740,1335
741,1269
742,1239
743,1208
744,1163
745,1118
746,1121
747,1129
748,1098
749,1059
750,1052
751,1049
752,1049
753,1090
754,1077
755,1051
756,1052
757,1020
758,1014
759,1041
760,1034
761,1032
762,1034
763,1044
764,1040
765,1049
766,1052
767,1058
768,1007
769,1003
770,985
771,994
772,974
773,1011
774,1001
775,1042
776,999
777,1016
778,987
779,984
780,1002
781,1053
782,1070
783,1046
784,1011
785,1010
786,1015
787,1029
788,1056
789,1052
790,1052
791,1099
792,1129
793,1146
794,1153
795,1195
796,1212
797,1239
798,1315
799,1371
800,1545
801,1678
802,1804
803,1833
804,1839
805,1915
806,1919
807,1849
808,1756
809,1822
810,1791
811,1885
812,1939
813,1941
814,1958
815,1914
816,1926
817,2030
818,1935
819,1902
820,1848
821,1808
822,1801
823,1786
824,1852
825,1839
826,1843
827,1839
828,1876
829,1899
830,1853
831,1738
832,1693
833,1568
834,1563
835,1393
836,1329
837,1261
838,1350
839,1320
840,1263
841,1215
842,1218
843,1207
844,1158
845,1159
846,1179
847,1125
848,1110
849,1133
850,1076
851,1026
852,1106
853,1160
854,1106
855,1036
856,1155
857,1156
858,1165
859,1188
860,1199
861,1139
862,1135
863,1111
864,1084
865,1071
866,1078
867,1035
868,1064
869,1059
870,1049
871,1023
872,1037
873,1073
874,1107
875,1070
876,1015
877,1066
878,977
879,1045
880,988
881,942
882,981
883,1026
884,1051
885,1125
886,1121
887,1135
888,1115
889,1089
890,1128
891,1163
892,1205
893,1238
894,1334
895,1425
896,1552
897,1741
898,1779
899,1788
900,1825
901,1812
902,1774
903,1790
904,1795
905,1853
906,1842
907,1753
908,1682
909,1832
910,1809
911,1773
912,1767
913,1831
914,1835
915,1842
916,1839
917,1858
918,1857
919,1846
920,1760
921,1782
922,1773
923,1728
924,1708
925,1653
926,1594
927,1574
928,1545
929,1512
930,1457
931,1361
932,1301
933,1270
934,1247
935,1206
936,1151
937,1102
938,1096
939,1102
940,1088
941,1067
942,1053
943,1059
944,1064
945,1057
946,1058
947,1070
948,1050
949,1060
950,1039
951,1063
952,1061
953,1046
954,1048
955,1033
956,1046
957,1050
958,1043
959,1043
960,1043
961,1046
962,1028
963,1042
964,1042
965,1055
966,1035
967,1024
968,1031
969,1038
970,1053
971,1046
972,1039
973,1041
974,1039
975,1036
976,1040
977,1050
978,1039
979,1042
980,1037
981,1045
982,1045
983,1034
984,1041
985,1031
986,1029
987,1027
988,1042
989,1049
990,1043
991,1033
992,1047
993,1035
994,1037
995,1036
996,1027
997,1022
998,1032
999,1040
1000,1036
1001,1036
1002,1052
1003,1043
1004,1054
1005,1043
1006,1051
1007,1049
1008,1030
1009,1024
1010,1011
1011,1046
1012,1021
1013,1035
1014,1026
1015,1031
1016,1031
1017,1033
1018,1023
1019,1032
1020,1016
1021,1026
1022,1019
1023,1008
1024,1035
1025,1006
1026,1032
1027,1041
1028,1036
1029,1011
1030,1039
1031,1043
1032,1040
1033,1042
1034,1058
1035,1047
1036,1065
1037,1045
1038,1048
1039,1039
1040,1032
1041,1019
1042,989
1043,960
1044,979
1045,963
1046,955
1047,941
1048,959
1049,971
1050,971
1051,978
1052,965
1053,961
1054,980
1055,988
1056,998
1057,1007
1058,1000
1059,1024
1060,1011
1061,1005
1062,1025
1063,995
1064,1003
1065,993
1066,1008
1067,1000
1068,1011
1069,1006
1070,1014
1071,1004
1072,992
1073,976
1074,979
1075,977
1076,971
1077,959
1078,949
1079,951
1080,970
1081,958
1082,955
1083,995
1084,1010
1085,1008
1086,1022
1087,1028
1088,1038
1089,1053
1090,976
1091,966
1092,925
1093,971
1094,978
1095,1013
1096,1032
1097,1042
1098,1037
1099,1039
1100,1057
1101,1030
1102,1009
1103,1000
1104,1003
1105,1013
1106,980
1107,978
1108,954
1109,962
1110,956
1111,1001
1112,1011
1113,1012
1114,1016
1115,997
1116,982
1117,972
1118,992
1119,986
1120,992
1121,989
1122,1006
1123,1012
1124,995
1125,1040
1126,1041
1127,1020
1128,1013
1129,1028
1130,1016
1131,1027
1132,1043
1133,1012
1134,1028
1135,1016
1136,989
1137,1004
1138,996
1139,995
1140,1011
1141,976
1142,997
1143,995
1144,995
1145,989
1146,996
1147,987
1148,979
1149,977
1150,985
1151,984
1152,974
1153,943
1154,946
1155,969
1156,974
1157,966
1158,986
1159,990
1160,984
1161,980
1162,973
1163,1018
1164,991
1165,979
1166,989
1167,1004
1168,1012
1169,1027
1170,1035
1171,1013
1172,1005
1173,1004
1174,1004
1175,1022
1176,1036
1177,1046
1178,1087
1179,1106
1180,1119
1181,1207
1182,1288
1183,1354
1184,1440
1185,1587
1186,1685
1187,1740
1188,1758
1189,1862
1190,1917
1191,1843
1192,1801
1193,1845
1194,1891
1195,1839
1196,1840
1197,1833
1198,1917
1199,1831
1200,1813
1201,1872
1202,1851
1203,1835
1204,1794
1205,1764
1206,1796
1207,1804
1208,1744
1209,1713
1210,1713
1211,1766
1212,1794
1213,1784
1214,1720
1215,1695
1216,1631
1217,1562
1218,1493
1219,1357
1220,1286
1221,1237
1222,1199
1223,1194
1224,1165
1225,1115
1226,1080
1227,1087
1228,1084
1229,1086
1230,1044
1231,1020
1232,1017
1233,1007
1234,996
1235,1033
1236,1070
1237,1053
1238,1031
1239,1044
1240,1037
1241,1017
1242,1021
1243,1008
1244,984
1245,1000
1246,1031
1247,1023
1248,1018
1249,1000
1250,1006
1251,997
1252,1034
1253,1025
1254,997
1255,1029
1256,1060
1257,1086
1258,1073
1259,1050
1260,1048
1261,1030
1262,1021
1263,1037
1264,1038
1265,997
1266,1035
1267,988
1268,1002
1269,995
1270,998
1271,1000
1272,1056
1273,1139
1274,1170
1275,1178
1276,1222
1277,1303
1278,1349
1279,1413
1280,1520
1281,1710
1282,1809
1283,1801
1284,1839
1285,1908
1286,1892
1287,1806
1288,1780
1289,1805
1290,1804
1291,1768
1292,1792
1293,1765
1294,1785
1295,1770
1296,1735
1297,1755
1298,1751
1299,1744
1300,1735
1301,1760
1302,1746
1303,1767
1304,1718
1305,1704
1306,1714
1307,1731
1308,1705
1309,1648
1310,1599
1311,1532
1312,1518
1313,1505
1314,1438
1315,1344
1316,1311
1317,1271
1318,1239
1319,1205
1320,1149
1321,1125
1322,1121
1323,1112
1324,1088
1325,1081
1326,1052
1327,1039
1328,1047
1329,1052
1330,1086
1331,1073
1332,1061
1333,1067
1334,1070
1335,1050
1336,1050
1337,1027
1338,1034
1339,1020
1340,1030
1341,1024
1342,1011
1343,982
1344,1023
1345,1014
1346,988
1347,987
1348,982
1349,973
1350,985
1351,990
1352,1016
1353,991
1354,995
1355,1013
1356,990
1357,993
1358,1001
1359,982
1360,1007
1361,1000
1362,1017
1363,1023
1364,1016
1365,1015
1366,984
1367,994
1368,1007
1369,1050
1370,1072
1371,1140
1372,1212
1373,1251
1374,1307
1375,1413
1376,1529
1377,1625
1378,1715
1379,1776
1380,1883
1381,1871
1382,1885
1383,1810
1384,1837
1385,1877
1386,1892
1387,1826
1388,1903
1389,1889
1390,1798
1391,1757
1392,1755
1393,1756
1394,1780
1395,1756
1396,1776
1397,1794
1398,1776
1399,1781
1400,1758
1401,1777
1402,1811
1403,1776
1404,1733
1405,1677
1406,1652
1407,1628
1408,1598
1409,1571
1410,1488
1411,1423
1412,1393
1413,1338
1414,1317
1415,1299
1416,1250
1417,1217
1418,1197
1419,1147
1420,1133
1421,1110
1422,1102
1423,1100
1424,1063
1425,1073
1426,1076
1427,1088
1428,1103
1429,1067
1430,1070
1431,1082
1432,1072
1433,1096
1434,1099
1435,1103
1436,1084
1437,1073
1438,1081
1439,1080
1440,1080
1441,1097
1442,1101
1443,1071
1444,1078
1445,1077
1446,1076
1447,1071
1448,1044
1449,1043
1450,1026
1451,1021
1452,1016
1453,1028
1454,1014
1455,1009
1456,1015
1457,1028
1458,1020
1459,1011
1460,1019
1461,1020
1462,1001
1463,1036
1464,1052
1465,1099
1466,1111
1467,1146
1468,1221
1469,1295
1470,1390
1471,1480
1472,1567
1473,1685
1474,1789
1475,1802
1476,1872
1477,1911
1478,1865
1479,1826
1480,1821
1481,1820
1482,1841
1483,1876
1484,1872
1485,1861
1486,1872
1487,1844
1488,1810
1489,1822
1490,1790
1491,1766
1492,1768
1493,1779
1494,1806
1495,1796
1496,1803
1497,1790
1498,1802
1499,1776
1500,1729
1501,1652
1502,1637
1503,1604
1504,1578
1505,1528
1506,1486
1507,1325
1508,1329
1509,1275
1510,1249
1511,1220
1512,1161
1513,1122
1514,1116
1515,1113
1516,1103
1517,1100
1518,1079
1519,1076
1520,1085
1521,1090
1522,1072
1523,1095
1524,1095
1525,1086
1526,1081
1527,1073
1528,1052
1529,1052
1530,1036
1531,1050
1532,1042
1533,1041
1534,1027
1535,1021
1536,1034
1537,1035
1538,1019
1539,1012
1540,1015
1541,1017
1542,1007
1543,1028
1544,1019
1545,1011
1546,1010
1547,1019
1548,1023
1549,1037
1550,1050
1551,1040
1552,1044
1553,1069
1554,1069
1555,1068
1556,1066
1557,1065
1558,1063
1559,1072
1560,1078
1561,1109
1562,1140
1563,1168
1564,1256
1565,1330
1566,1418
1567,1496
1568,1579
1569,1725
1570,1756
1571,1769
1572,1783
1573,1938
1574,1888
1575,1837
1576,1877
1577,1936
1578,1913
1579,1848
1580,1877
1581,1881
1582,1854
1583,1825
1584,1838
1585,1839
1586,1825
1587,1843
1588,1890
1589,1887
1590,1898
1591,1851
1592,1807
1593,1796
1594,1785
1595,1737
1596,1715
1597,1626
1598,1609
1599,1522
1600,1461
1601,1417
1602,1375
1603,1272
1604,1260
1605,1250
1606,1241
1607,1198
1608,1186
1609,1121
1610,1120
1611,1159
1612,1160
1613,1163
1614,1175
1615,1110
1616,1033
1617,1032
1618,1021
1619,1026
1620,1028
1621,1023
1622,1034
1623,1039
1624,1052
1625,1029
1626,1050
1627,1053
1628,1073
1629,1063
1630,1066
1631,1036
1632,1018
1633,1002
1634,1009
1635,1008
1636,982
1637,992
1638,1008
1639,1010
1640,1012
1641,1007
1642,1013
1643,974
1644,964
1645,971
1646,986
1647,1006
1648,969
1649,1016
1650,1004
1651,1013
1652,956
1653,963
1654,994
1655,992
1656,993
1657,997
1658,987
1659,994
1660,971
1661,980
1662,995
1663,1005
1664,1016
1665,1027
1666,1046
1667,1052
1668,1052
1669,1022
1670,1031
1671,1049
1672,1072
1673,1079
1674,1101
1675,1062
1676,1052
1677,1047
1678,1047
1679,1042
1680,1054
1681,1072
1682,1093
1683,1103
1684,1064
1685,1072
1686,1058
1687,1095
1688,1070
1689,1063
1690,1042
1691,1047
1692,1040
1693,1037
1694,1030
1695,1042
1696,1008
1697,1000
1698,1004
1699,1012
1700,1014
1701,1035
1702,1019
1703,1022
1704,1021
1705,1024
1706,1036
1707,1025
1708,1011
1709,1011
1710,1003
1711,997
1712,990
1713,961
1714,959
1715,932
1716,928
1717,955
1718,952
1719,940
1720,959
1721,942
1722,955
1723,957
1724,947
1725,905
1726,891
1727,937
1728,936
1729,950
1730,956
1731,942
1732,959
1733,962
1734,966
1735,954
1736,938
1737,959
1738,959
1739,930
1740,943
1741,946
1742,975
1743,930
1744,921
1745,933
1746,971
1747,969
1748,970
1749,984
1750,931
1751,924
1752,907
1753,951
1754,960
1755,968
1756,962
1757,979
1758,977
1759,972
1760,961
1761,953
1762,963
1763,961
1764,942
1765,941
1766,972
1767,971
1768,965
1769,944
1770,933
1771,930
1772,971
1773,980
1774,1010
1775,1016
1776,1018
1777,1019
1778,1025
1779,1023
1780,1029
1781,1021
1782,1022
1783,1014
1784,1005
1785,1011
1786,1010
1787,1020
1788,989
1789,1005
1790,1019
1791,1020
1792,1014
1793,1025
1794,981
1795,992
1796,985
1797,979
1798,982
1799,983
1800,988
1801,982
1802,989
1803,988
1804,993
1805,991
1806,983
1807,975
1808,980
1809,962
1810,966
1811,976
1812,975
1813,974
1814,968
1815,986
1816,968
1817,971
1818,954
1819,953
1820,954
1821,964
1822,972
1823,967
1824,946
1825,959
1826,933
1827,922
1828,923
1829,936
1830,934
1831,956
1832,965
1833,975
1834,976
1835,986
1836,973
1837,969
1838,961
1839,970
1840,991
1841,994
1842,1003
1843,1005
1844,1015
1845,1029
1846,1029
1847,1065
1848,1069
1849,1074
1850,1107
1851,1122
1852,1146
1853,1244
1854,1346
1855,1434
1856,1589
1857,1759
1858,1835
1859,1845
1860,1850
1861,1879
1862,1960
1863,1860
1864,1828
1865,1853
1866,1854
1867,1839
1868,1835
1869,1848
1870,1823
1871,1847
1872,1781
1873,1792
1874,1783
1875,1755
1876,1767
1877,1793
1878,1778
1879,1777
1880,1722
1881,1729
1882,1754
1883,1747
1884,1726
1885,1724
1886,1700
1887,1641
1888,1584
1889,1568
1890,1479
1891,1352
1892,1328
1893,1286
1894,1248
1895,1223
1896,1192
1897,1158
1898,1141
1899,1124
1900,1103
1901,1094
1902,1092
1903,1087
1904,1082
1905,1092
1906,1101
1907,1087
1908,1095
1909,1103
1910,1085
1911,1092
1912,1108
1913,1096
1914,1088
1915,1072
1916,1078
1917,1103
1918,1094
1919,1091
1920,1083
1921,1072
1922,1063
1923,1041
1924,1031
1925,1039
1926,1006
1927,1014
1928,1023
1929,999
1930,1023
1931,1008
1932,1021
1933,1020
1934,1019
1935,1030
1936,1040
1937,1054
1938,1050
1939,1047
1940,1047
1941,1043
1942,1040
1943,1061
1944,1064
1945,1079
1946,1139
1947,1189
1948,1205
1949,1287
1950,1347
1951,1436
1952,1527
1953,1734
1954,1738
1955,1802
1956,1825
1957,1922
1958,1762
1959,1542
1960,1573
1961,1589
1962,1556
1963,1650
1964,1711
1965,1662
1966,1742
1967,1708
1968,1643
1969,1629
1970,1753
1971,1656
1972,1513
1973,1464
1974,1500
1975,1497
1976,1475
1977,1480
1978,1428
1979,1448
1980,1635
1981,1714
1982,1720
1983,1708
1984,1684
1985,1658
1986,1485
1987,1390
1988,1349
1989,1274
1990,1203
1991,1145
1992,1128
1993,1080
1994,1063
1995,1070
1996,1025
1997,1000
1998,997
1999,1000
2000,1031
2001,1039
2002,1027
2003,1030
2004,1018
2005,1029
2006,1016
2007,1015
2008,995
2009,1012
2010,1002
2011,970
2012,941
2013,940
2014,944
2015,960
2016,943
2017,964
2018,949
2019,954
2020,978
2021,928
2022,991
2023,996
2024,989
2025,968
2026,972
2027,983
2028,1012
2029,1020
2030,1003
2031,1033
2032,1017
2033,1041
2034,1009
2035,984
2036,967
2037,992
2038,955
2039,974
2040,1029
2041,1053
2042,1093
2043,1127
2044,1172
2045,1253
2046,1313
2047,1409
2048,1536
2049,1642
2050,1704
2051,1746
2052,1779
2053,1832
2054,1821
2055,1767
2056,1798
2057,1816
2058,1810
2059,1861
2060,1885
2061,1819
2062,1787
2063,1723
2064,1719
2065,1799
2066,1778
2067,1761
2068,1759
2069,1712
2070,1727
2071,1710
2072,1702
2073,1700
2074,1717
2075,1689
2076,1660
2077,1688
2078,1650
2079,1654
2080,1616
2081,1557
2082,1493
2083,1396
2084,1335
2085,1270
2086,1270
2087,1237
2088,1168
2089,1114
2090,1104
2091,1109
2092,1124
2093,1076
2094,1068
2095,1056
2096,1038
2097,1032
2098,1027
2099,1039
2100,1030
2101,1020
2102,1028
2103,1018
2104,1017
2105,1039
2106,1057
2107,1026
2108,1015
2109,1059
2110,1056
2111,1043
2112,1061
2113,1067
2114,1060
2115,1065
2116,1055
2117,1059
2118,1041
2119,1029
2120,1017
2121,1000
2122,1009
2123,1014
2124,1019
2125,1018
2126,960
2127,959
2128,940
2129,988
2130,964
2131,976
2132,999
2133,977
2134,998
2135,979
2136,991
2137,1040
2138,1065
2139,1091
2140,1154
2141,1259
2142,1314
2143,1404
2144,1488
2145,1685
2146,1670
2147,1677
2148,1738
2149,1814
2150,1722
2151,1690
2152,1684
2153,1809
2154,1781
2155,1830
2156,1796
2157,1817
2158,1840
2159,1771
2160,1807
2161,1784
2162,1807
2163,1776
2164,1755
2165,1733
2166,1789
2167,1816
2168,1727
2169,1772
2170,1734
2171,1719
2172,1634
2173,1700
2174,1714
2175,1614
2176,1553
2177,1518
2178,1472
2179,1370
2180,1351
2181,1270
2182,1239
2183,1191
2184,1157
2185,1105
2186,1085
2187,1067
2188,1056
2189,1076
2190,1042
2191,1041
2192,1021
2193,1032
2194,1033
2195,1015
2196,1026
2197,982
2198,994
2199,981
2200,990
2201,985
2202,989
2203,997
2204,995
2205,992
2206,990
2207,986
2208,990
2209,994
2210,1004
2211,987
2212,993
2213,982
2214,981
2215,993
2216,990
2217,967
2218,992
2219,982
2220,996
2221,1001
2222,976
2223,976
2224,986
2225,989
2226,996
2227,994
2228,986
2229,978
2230,960
2231,960
2232,996
2233,1011
2234,1000
2235,1082
2236,1153
2237,1282
2238,1369
2239,1468
2240,1513
2241,1655
2242,1766
2243,1804
2244,1817
2245,1833
2246,1870
2247,1799
2248,1769
2249,1806
2250,1800
2251,1780
2252,1783
2253,1757
2254,1762
2255,1738
2256,1714
2257,1766
2258,1726
2259,1728
2260,1724
2261,1693
2262,1727
2263,1716
2264,1697
2265,1705
2266,1662
2267,1649
2268,1607
2269,1581
2270,1559
2271,1490
2272,1463
2273,1414
2274,1340
2275,1243
2276,1220
2277,1195
2278,1178
2279,1173
2280,1126
2281,1078
2282,1047
2283,1048
2284,1042
2285,1026
2286,1035
2287,1017
2288,1019
2289,1009
2290,1007
2291,1025
2292,995
2293,1004
2294,989
2295,1009
2296,995
2297,1012
2298,998
2299,1001
2300,1009
2301,993
2302,1010
2303,1002
2304,1008
2305,1000
2306,999
2307,996
2308,976
2309,995
2310,977
2311,971
2312,961
2313,974
2314,975
2315,971
2316,963
2317,949
2318,923
2319,922
2320,915
2321,916
2322,922
2323,910
2324,927
2325,930
2326,938
2327,942
2328,931
2329,943
2330,951
2331,963
2332,968
2333,985
2334,1000
2335,1000
2336,1010
2337,987
2338,989
2339,975
2340,990
2341,989
2342,983
2343,978
2344,1004
2345,991
2346,998
2347,997
2348,984
2349,1005
2350,1015
2351,1006
2352,1044
2353,1034
2354,1007
2355,1001
2356,1036
2357,1037
2358,1054
2359,1035
2360,1035
2361,1039
2362,1029
2363,1018
2364,989
2365,977
2366,983
2367,983
2368,984
2369,985
2370,974
2371,977
2372,985
2373,991
2374,1004
2375,987
2376,975
2377,964
2378,988
2379,972
2380,971
2381,979
2382,997
2383,973
2384,970
2385,972
2386,966
2387,980
2388,964
2389,966
2390,970
2391,967
2392,970
2393,985
2394,980
2395,975
2396,996
2397,987
2398,995
2399,971
2400,966
2401,958
2402,955
2403,956
2404,954
2405,927
2406,923
2407,916
2408,901
2409,915
2410,887
2411,917
2412,925
2413,907
2414,915
2415,934
2416,936
2417,929
2418,921
2419,943
2420,947
2421,955
2422,945
2423,944
2424,960
2425,961
2426,968
2427,967
2428,960
2429,958
2430,961
2431,973
2432,970
2433,956
2434,957
2435,958
2436,955
2437,940
2438,936
2439,961
2440,961
2441,970
2442,946
2443,929
2444,926
2445,949
2446,937
2447,934
2448,936
2449,946
2450,947
2451,947
2452,939
2453,948
2454,951
2455,953
2456,954
2457,980
2458,963
2459,971
2460,979
2461,979
2462,977
2463,994
2464,1004
2465,991
2466,1005
2467,991
2468,1021
2469,1011
2470,1001
2471,1012
2472,1029
2473,1038
2474,1015
2475,1019
2476,1015
2477,997
2478,994
2479,990
2480,968
2481,950
2482,950
2483,952
2484,955
2485,951
2486,945
2487,958
2488,943
2489,959
2490,937
2491,940
2492,948
2493,938
2494,940
2495,933
2496,936
2497,929
2498,922
2499,911
2500,921
2501,909
2502,929
2503,938
2504,946
2505,963
2506,960
2507,981
2508,975
2509,997
2510,988
2511,986
2512,988
2513,991
2514,993
2515,988
2516,979
2517,993
2518,984
2519,993
2520,1012
2521,1034
2522,1067
2523,1121
2524,1162
2525,1228
2526,1259
2527,1381
2528,1429
2529,1603
2530,1753
2531,1732
2532,1775
2533,1851
2534,1859
2535,1766
2536,1827
2537,1842
2538,1825
2539,1855
2540,1835
2541,1824
2542,1819
2543,1781
2544,1763
2545,1752
2546,1771
2547,1767
2548,1772
2549,1732
2550,1750
2551,1731
2552,1699
2553,1735
2554,1729
2555,1699
2556,1660
2557,1702
2558,1662
2559,1628
2560,1591
2561,1564
2562,1488
2563,1371
2564,1311
2565,1270
2566,1250
2567,1213
2568,1179
2569,1138
2570,1120
2571,1099
2572,1095
2573,1092
2574,1069
2575,1062
2576,1068
2577,1080
2578,1073
2579,1084
2580,1085
2581,1098
2582,1072
2583,1083
2584,1078
2585,1085
2586,1068
2587,1041
2588,998
2589,1020
